iter	Passed	Remaining
544	6995	18676
545	7008	18663
546	7020	18649
547	7033	18636
548	7046	18622
549	7058	18609
550	7071	18595
551	7083	18581
552	7095	18567
553	7108	18552
554	7120	18538
555	7132	18523
556	7144	18508
557	7156	18493
558	7168	18478
559	7180	18465
560	7193	18450
561	7205	18437
562	7210	18405
563	7222	18388
564	7234	18374
565	7246	18360
566	7258	18344
567	7270	18330
568	7282	18316
569	7294	18301
570	7307	18288
571	7319	18274
572	7331	18257
573	7343	18243
574	7355	18228
575	7368	18216
576	7380	18201
577	7391	18185
578	7405	18174
579	7417	18160
580	7430	18148
581	7442	18133
582	7455	18120
583	7468	18108
584	7480	18094
585	7488	18069
586	7500	18055
587	7512	18040
588	7524	18026
589	7537	18014
590	7549	17999
591	7562	17985
592	7574	17970
593	7586	17956
594	7598	17942
595	7609	17926
596	7622	17913
597	7635	17901
598	7648	17889
599	7663	17882
600	7678	17872
601	7691	17862
602	7705	17851
603	7720	17843
604	7735	17835
605	7749	17825
606	7765	17821
607	7780	17812
608	7786	17784
609	7800	17774
610	7814	17764
611	7826	17749
612	7838	17734
613	7850	17722
614	7863	17709
615	7876	17696
616	7889	17683
617	7902	17671
618	7914	17656
619	7926	17641
620	7939	17629
621	7950	17613
622	7962	17598
623	7974	17585
624	7986	17570
625	7999	17556
626	8012	17545
627	8024	17531
628	8037	17518
629	8050	17506
630	8063	17493
631	8076	17481
632	8088	17467
633	8101	17456
634	8114	17442
635	8127	17429
636	8139	17415
637	8143	17384
638	8147	17352
639	8159	17338
640	8171	17324
641	8184	17312
642	8198	17302
643	8211	17290
644	8225	17280
645	8239	17270
646	8253	17260
647	8267	17250
648	8282	17241
649	8293	17225
650	8307	17214
651	8322	17206
652	8337	17197
653	8351	17187
654	8364	17175
655	8377	17162
656	8390	17150
657	8402	17137
658	8415	17123
659	8427	17109
660	8438	17094
661	8451	17081
662	8462	17066
663	8474	17050
664	8486	17037
665	8500	17025
666	8513	17013
667	8521	16991
668	8533	16978
669	8546	16965
670	8559	16954
671	8572	16941
672	8585	16928
673	8598	16917
674	8612	16905
675	8625	16893
676	8637	16880
677	8651	16868
678	8663	16854
679	8675	16840
680	8688	16828
681	8701	16815
682	8712	16800
683	8724	16786
684	8737	16773
685	8749	16759
686	8762	16747
687	8775	16733
688	8787	16720
689	8800	16707
690	8811	16692
691	8823	16678
692	8836	16665
693	8848	16651
694	8856	16630
695	8869	16617
696	8881	16603
697	8893	16589
698	8905	16574
699	8917	16561
700	8929	16546
701	8940	16531
